native,target,Ordinal numbers,start_ms,end_ms,audiofile
0,nulis,,12276,13727,
1,vienas (m); viena (f),pirmas,16062,17.325,
2,du (m); dvi (f),antras,20070,20764,
3,trys (m); trys (f),trečias,24141,24772,
4,keturi (m); keturios (f),ketvirtas,28148,29064,
5,penki (m); penkios (f),penktas,32251,33134,
6,šeši (m); šešios (f),šeštas,36195,36984,
7,septyni (m); septynios (f),septintas,40108,41276,
8,aštuoni (m); aštuonios (f),aštuntas,44211,45252,
9,devyni (m); devynios (f),devintas,48061,49449,
10,dešimt,dešimtas,51974,53299,
11,vienuolika,vienuoliktas,89605,91262,
12,dvylika,dvyliktas,95932,97526,
13,trylika,tryliktas,102575,103932,
14,keturiolika,keturioliktas,109265,110827,
15,penkiolika,penkioliktas,115923,117485,
16,šešiolika,šešioliktas,122140,123891,
17,septyniolika,septynioliktas,128909,131023,
18,aštuoniolika,aštuonioliktas,135425,137271,
19,devyniolika,devynioliktas,141989,143882,
20,dvidešimt,dvidešimtas,148221,150178,
21,dvidešimt vienas,dvidešimt pirmas,,,
22,dvidešimt du,dvidešimt antras,,,
23,dvidešimt trys,dvidešimt trečias,,,
24,dvidešimt keturi,dvidešimt ketvirtas,,,
25,dvidešimt penki,dvidešimt penktas,,,
26,dvidešimt šeši,dvidešimt šeštas,,,
27,dvidešimt septyni,dvidešimt septintas,,,
28,dvidešimt aštuoni,dvidešimt aštuntas,,,
29,dvidešimt devyni,dvidešimt devintoji,,,
30,trisdešimt,trisdešimtas,,,
40,keturiasdešimt,keturiasdešimtas,,,
50,penkiasdešimt,penkiasdešimtasis,,,
60,šešiasdešimt,šešiasdešimtasis,,,
70,septyniasdešimt,septyniasdešimtasis,,,
80,aštuoniasdešimt,aštuoniasdešimtasis,,,
90,devyniasdešimt,devyniasdešimtasis,,,
100,šimtas,šimtoji,,,
200,du šimtai,,,,
300,trys šimtai,,,,
400,keturi šimtai,,,,
500,penki šimtai,,,,
600,šeši šimtai,,,,
700,septyni šimtai,,,,
800,aštuoni šimtai,,,,
900,devyni šimtai,,,,
1000,tūkstantis,tūkstantoji,,,
2000,du tūkstančiai,,,,
3000,trys tūkstančiai,,,,
4000,keturi tūkstančiai,,,,
5000,penki tūkstantis,,,,
6000,šeši tūkstantis,,,,
7000,septyni tūkstantis,,,,
8000,aštuoni tūkstantis,,,,
9000,devyni tūkstantis,,,,
10000,dešimt tūkstantis,,,,
1000000,milijonas,"milijoninė, milijoninis",,,
1000000000,milijardas,,,,
once,kartą,,,,
twice,dvigubai,,,,
